Trade Date,Type,Cusip,Ticker,Security Type,Price USD,Quantity,Amount USD
12/29/2023,Dividend,92204A207,VDC,Stock,0,0,110.64
12/29/2023,Reinvest,92204A207,VDC,Stock,0,0.58239,-110.64
12/29/2023,Dividend,92204A884,VOX,Stock,0,0,42.28
12/29/2023,Reinvest,92204A884,VOX,Stock,0,0.35825,-42.28
12/28/2023,Dividend,38141G104,GS,Stock,0,0,60.01
12/28/2023,Reinvest,38141G104,GS,Stock,0,0.15597,-60.01
12/28/2023,Dividend,67066G104,NVDA,Stock,0,0,6.9
12/28/2023,Reinvest,67066G104,NVDA,Stock,0,0.01391,-6.9
12/22/2023,CAP,316390483,FBSOX,Mutual Fund,0,0,122.86
12/22/2023,Reinvest,316390483,FBSOX,Mutual Fund,0,1.981,-122.86
12/22/2023,Dividend,92204A702,VGT,Stock,0,0,111.64
12/22/2023,Reinvest,92204A702,VGT,Stock,0,0.23013,-111.64
12/21/2023,Dividend,808524839,SCHZ,Stock,0,0,0.89
12/21/2023,Reinvest,808524839,SCHZ,Stock,0,0.01911,-0.89
12/20/2023,DBS,,QACDS,Money Market,0,60.46,-60.46
12/20/2023,Dividend,316092600,FHLC,Stock,0,0,13.66
12/20/2023,Dividend,316092808,FTEC,Stock,0,0,123.16
12/20/2023,Reinvest,316092808,FTEC,Stock,0,0.85745,-123.16
12/20/2023,Dividend,316092873,FCOM,Stock,0,0,46.8
12/18/2023,DBS,,QACDS,Money Market,0,48,-48
12/18/2023,Dividend,654445303,NTDOY,Stock,0,0,67.89
12/18/2023,ADR,654445303,NTDOY,Stock,0,0,-9.49
12/14/2023,Dividend,594918104,MSFT,Stock,0,0,46.48
12/14/2023,Reinvest,594918104,MSFT,Stock,0,0.12451,-46.48
12/11/2023,DBS,,QACDS,Money Market,0,12.75,-12.75
12/11/2023,Dividend,70432V102,PAYC,Stock,0,0,12.75
12/11/2023,Dividend,808524805,SCHF,Stock,0,0,123.9
12/11/2023,Reinvest,808524805,SCHF,Stock,0,3.51139,-123.9
12/11/2023,Dividend,808524201,SCHX,Stock,0,0,94.6
12/11/2023,Reinvest,808524201,SCHX,Stock,0,1.74313,-94.6
12/11/2023,Dividend,808524607,SCHA,Stock,0,0,52.22
12/11/2023,Reinvest,808524607,SCHA,Stock,0,1.18979,-52.22
12/08/2023,WDL,,QACDS,Money Market,0,-0.14,0.14
