Trade Date,Type,Ticker,Security Type,Price USD,Quantity,Amount USD
12/28/2018,Reinvest,FHLC,ETF,40.95,0.2154,-8.82
12/24/2018,Reinvest,VGT,ETF,157.9,9.7762,-1543.71
12/24/2018,Reinvest,VOX,ETF,70.25,19.6797,-1382.45
12/24/2018,Reinvest,VDC,ETF,127.5,9.8454,-1255.24
12/24/2018,Reinvest,VOX,ETF,70.2,0.0708,-4.97
12/24/2018,Buy,SCHX,ETF,57,20,-1140
12/24/2018,Reinvest,VDC,ETF,127.64,0.0275,-3.51
12/19/2018,Reinvest,VDC,ETF,134.99,0.1546,-20.87
12/19/2018,Reinvest,VGT,ETF,171.76,0.2238,-38.44
12/19/2018,Reinvest,VOX,ETF,76.96,0.3203,-24.65
12/18/2018,Reinvest,SCHF,ETF,28.72,4.5935,-131.91
12/18/2018,Reinvest,SCHX,ETF,61.11,0.9419,-57.56
12/18/2018,Reinvest,SCHA,ETF,62.63,0.5925,-37.11
12/17/2018,Buy,VGT,ETF,169.52,30,-5085.6
12/17/2018,Buy,VOX,ETF,76,20,-1520
12/17/2018,Buy,FTEC,ETF,50.25,19.9063,-1000.24
12/17/2018,Buy,VDC,ETF,137.2,20,-2744
12/06/2018,Buy,SCHX,ETF,63,20,-1260
10/26/2018,Buy,SCHX,ETF,63.2,50,-3160
10/26/2018,Buy,SCHA,ETF,65.5,30,-1965
10/26/2018,Buy,VOX,ETF,79.09,28,-2214.52
10/26/2018,Buy,VOX,ETF,79.09,2,-158.18
10/26/2018,Buy,VGT,ETF,179.25,20,-3585
10/24/2018,Buy,FHLC,ETF,42.83,30,-1284.9
10/23/2018,Buy,SCHA,ETF,67.83,20,-1356.6
10/23/2018,Buy,SCHX,ETF,64.37,30,-1931.1
10/23/2018,Buy,SCHF,ETF,30.64,40,-1225.6
10/10/2018,Buy,VOX,ETF,83.56,1,-83.56
10/10/2018,Buy,VOX,ETF,83.57,29,-2423.53
10/10/2018,Buy,VGT,ETF,189.55,20,-3791
10/10/2018,Buy,FHLC,ETF,45.86,1,-45.86
10/10/2018,Buy,FHLC,ETF,45.87,29,-1330.23
10/09/2018,Buy,VOX,ETF,85.25,20,-1705
10/08/2018,Buy,VGT,ETF,194.6,20,-3892
10/02/2018,Buy,SCHA,ETF,74.77,30,-2243.1
10/01/2018,Reinvest,SCHA,ETF,76.28,0.0725,-5.53
10/01/2018,Reinvest,SCHX,ETF,70.06,0.3273,-22.93
09/27/2018,Reinvest,FTEC,ETF,60.19,0.0937,-5.64
09/12/2018,Buy,FTEC,ETF,59.42,40,-2376.8
07/24/2018,Buy,SCHA,ETF,75,25,-1875
07/19/2018,Buy,SCHF,ETF,33.25,74,-2460.5
07/19/2018,Buy,SCHX,ETF,67,74,-4958
