Trade Date,Type,Ticker,Security Type,Price USD,Quantity,Amount USD
08/14/2025,Buy,AAPL,Stock,1711.45,0.13644,233.51
05/15/2025,Buy,AAPL,Stock,1397.42,0.1509,210.87
02/13/2025,Buy,AAPL,Stock,1831.66,0.12919,236.63
01/27/2025,Buy,AAPL,Stock,227.08,20,4541.60
11/14/2024,Buy,AAPL,Stock,2004.07,0.11289,226.24
08/15/2024,Buy,AAPL,Stock,1958.12,0.11414,223.50
05/16/2024,Buy,AAPL,Stock,190.72,0.1336,25.48
02/15/2024,Buy,AAPL,Stock,183.67,0.13301,24.43
11/16/2023,Buy,AAPL,Stock,190.16,0.12826,24.39
08/17/2023,Buy,AAPL,Stock,177.23,0.13745,24.36
05/18/2023,Buy,AAPL,Stock,173.28,0.14041,24.33
02/16/2023,Buy,AAPL,Stock,153.93,0.15124,23.28
11/10/2022,Buy,AAPL,Stock,141.69,0.16402,23.24
08/11/2022,Buy,AAPL,Stock,169.95,0.13657,23.21
05/12/2022,Buy,AAPL,Stock,142.05,0.16311,23.17
02/10/2022,Buy,AAPL,Stock,175.01,0.12651,22.14
11/11/2021,Buy,AAPL,Stock,148.99,0.1484,22.11
08/12/2021,Buy,AAPL,Stock,146.21,0.15095,22.07
05/13/2021,Buy,AAPL,Stock,125.48,0.17556,22.03
02/11/2021,Buy,AAPL,Stock,135.81,0.15095,20.50
11/23/2020,Buy,AAPL,Stock,115.00,100,11500.00
05/16/2022,Buy,ABNB,Stock,115.00,20,2300.00
01/27/2021,Buy,ABNB,Stock,194.72,50,9735.91
01/19/2021,Buy,AMD,Stock,89.53,34,3044.02
02/22/2022,Buy,AMZN,Stock,149.49,100,14948.73
03/09/2020,Buy,AMZN,Stock,88.70,60,5322.00
02/28/2020,Buy,AMZN,Stock,91.50,100,9150.00
02/27/2020,Buy,AMZN,Stock,95.75,100,9575.00
10/03/2019,Buy,AMZN,Stock,85.50,200,17100.00
05/19/2022,Buy,ANET,Stock,25.00,120,3000.00
04/21/2022,Buy,ANET,Stock,30.64,80,2451.49
04/06/2022,Buy,ANET,Stock,33.20,60,1992.00
03/23/2022,Buy,ANET,Stock,33.38,100,3338.00
08/06/2025,Buy,ASML,Stock,689.01,0.0282,19.43
05/06/2025,Buy,ASML,Stock,677.16,0.0324,21.94
02/19/2025,Buy,ASML,Stock,746.82,0.02204,16.46
11/07/2024,Buy,ASML,Stock,673.07,0.02551,17.17
08/07/2024,Buy,ASML,Stock,878.59,0.01952,17.15
05/07/2024,Buy,ASML,Stock,924.68,0.02111,19.52
02/14/2024,Buy,ASML,Stock,915.72,0.01768,16.19
11/10/2023,Buy,ASML,Stock,642.54,0.02473,15.89
08/10/2023,Buy,ASML,Stock,688.49,0.02398,16.51
05/10/2023,Buy,ASML,Stock,654.51,0.02935,19.21
02/15/2023,Buy,ASML,Stock,661.87,0.02295,15.19
11/14/2022,Buy,ASML,Stock,576.38,0.02396,13.81
08/12/2022,Buy,ASML,Stock,569.90,0.02518,14.35
05/12/2022,Buy,ASML,Stock,513.54,0.07752,39.81
03/14/2022,Buy,ASML,Stock,581.99,5,2909.95
11/12/2021,Buy,ASML,Stock,841.36,0.01475,12.41
10/20/2021,Buy,ASML,Stock,759.98,7,5319.86
07/15/2025,Buy,AVB,Stock,200.32,0.18261,36.58
04/15/2025,Buy,AVB,Stock,201.13,0.18028,36.26
01/15/2025,Buy,AVB,Stock,223.57,0.15637,34.96
10/15/2024,Buy,AVB,Stock,225.02,0.15421,34.70
07/15/2024,Buy,AVB,Stock,203.00,0.16951,34.41
04/15/2024,Buy,AVB,Stock,182.71,0.18658,34.09
01/16/2024,Buy,AVB,Stock,181.40,0.18076,32.79
10/16/2023,Buy,AVB,Stock,176.31,0.18428,32.49
07/17/2023,Buy,AVB,Stock,197.46,0.16317,32.22
04/17/2023,Buy,AVB,Stock,171.16,0.18643,31.91
01/17/2023,Buy,AVB,Stock,168.84,0.18041,30.46
10/17/2022,Buy,AVB,Stock,173.20,0.17431,30.19
07/15/2022,Buy,AVB,Stock,192.17,0.15580,29.94
04/18/2022,Buy,AVB,Stock,245.16,0.12135,29.75
01/18/2022,Buy,AVB,Stock,247.84,0.11927,29.56
10/15/2021,Buy,AVB,Stock,233.55,0.12571,29.36
07/15/2021,Buy,AVB,Stock,223.34,0.13052,29.15
04/15/2021,Buy,AVB,Stock,187.58,0.15407,28.90
01/15/2021,Buy,AVB,Stock,160.14,0.17872,28.62
12/09/2020,Buy,AVB,Stock,166.43,18.00000,2995.65
04/16/2020,Buy,BRK.B,Stock,187.00,20,3740.00
01/10/2025,Buy,BTCO,ETF,93.81,50,4690.33
07/10/2025,Buy,CRM,Stock,270.94,0.03403,9.22
04/24/2025,Buy,CRM,Stock,257.63,0.03571,9.20
01/10/2025,Buy,CRM,Stock,319.25,0.02769,8.84
10/08/2024,Buy,CRM,Stock,285.21,0.03096,8.83
07/25/2024,Buy,CRM,Stock,254.70,0.03459,8.81
04/11/2024,Buy,CRM,Stock,299.52,0.02938,8.80
12/02/2020,Buy,CRM,Stock,224.07,22,4929.65
05/16/2022,Buy,CRWD,Stock,145.00,6,870.00
02/22/2022,Buy,CRWD,Stock,167.17,30,5015.23
11/23/2020,Buy,CRWD,Stock,143.00,30,4290.00
06/29/2020,Buy,CRWD,Stock,95.00,30,2850.00
07/23/2025,Buy,DIS,Stock,121.70,0.18726,22.79
