CURRENT PORTFOLIO HOLDINGS

Ticker  Shares      Price       Value
NVDA    1,850.97223 $177.99     $329,454.54
VGT     416.73721   $694.17     $289,286.46
VOO     436.72799   $593.21     $259,071.41
TSLA    600.00000   $340.01     $204,006.00
AMZN    560.00000   $228.84     $128,150.40
VOX     711.97729   $178.51     $127,095.06
VTI     312.38702   $318.18     $99,395.30
FTEC    441.15749   $206.53     $91,112.25
SHOP    550.00000   $142.11     $78,160.50
MSFT    112.98022   $507.23     $57,306.95
ANET    360.00000   $133.25     $47,970.00
VMFXX   47,078.68   $1.00       $47,078.68
CRWD    96.00000    $420.55     $40,372.80
SPOT    50.00000    $692.99     $34,649.50
SCHX    1,298.63981 $25.56      $33,193.23
FCOM    483.30446   $67.56      $32,652.04
AAPL    122.68360   $227.76     $27,942.41
HUBS    55.00000    $474.30     $26,086.50
MA      35.96015    $598.96     $21,538.69
UBER    200.00000   $96.79      $19,358.00
META    25.13189    $754.79     $18,969.29
VDC     84.74240    $222.69     $18,871.28
NFLX    15.00000    $1,204.65   $18,069.75
GS      22.73341    $741.89     $16,865.68
MELI    6.00000     $2,430.62   $14,583.72
IDXX    20.00000    $645.55     $12,911.00
SCHA    459.93262   $27.26      $12,537.76
SNPS    20.00000    $606.52     $12,130.40
NET     60.00000    $196.17     $11,770.20
QQQ     20.05131    $571.97     $11,468.74
UAL     100.00000   $102.98     $10,298.00
BRK.B   20.00000    $489.00     $9,780.00
ASML    12.40888    $754.89     $9,367.33
ABNB    70.00000    $129.92     $9,094.40
SCHF    372.96039   $23.07      $8,604.19
ZS      30.00000    $272.515    $8,175.45
FTNT    100.00000   $80.02      $8,002.00
IYW     40.04160    $181.41     $7,263.94
DXCM    80.00000    $82.26      $6,580.80
BTCO    50.00000    $116.40     $5,820.00
AMD     34.00000    $167.76     $5,703.84
CRM     22.19236    $248.29     $5,510.14
DIS     45.77327    $118.86     $5,440.61
AVB     21.08436    $193.62     $4,082.35
FHLC    61.71201    $66.04      $4,075.46
WEX     20.00000    $172.87     $3,457.40
ZBRA    10.00000    $322.79     $3,227.90
MKC     44.38106    $72.26      $3,206.97
NICE    20.00000    $142.50     $2,850.00
TTWO    12.00000    $229.03     $2,748.36
ROKU    20.00000    $94.22      $1,884.40
SCHZ    14.25007    $23.26      $331.45
JD      1.02528     $31.88      $32.68

Cash & sweep funds: $151,639.35 
Total Value:        $2,419,235.56
